"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10252-469660","CERTIFIED",9/9/2010 12:42:56,"H-1B",12/1/2010 0:00:00,11/30/2013 0:00:00,"UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN A","7703 FLOYD CURL DR.","SAN ANTONIO","TX","78229","19-4021.00","Biological Technicians","RESEARCH ASSOCIATE","40764",,"Year","Y",1,"SAN ANTONIO","TX","27331","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",9/15/2010 0:00:00
"I-200-10252-634784","CERTIFIED",9/9/2010 12:52:56,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"SUBLIME WIRELESS INC.","31 MAMARONECK AVENUE, SUITE 512","WHITE PLAINS","NY","10601","17-2072.00","Electronics Engineers, Except Computer","RF ENGINEER II","65000",,"Year","Y",1,"WHITE PLAINS","NY","59592","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",9/15/2010 0:00:00
"I-200-10252-581007","CERTIFIED",9/9/2010 12:13:03,"H-1B",10/22/2010 0:00:00,10/22/2012 0:00:00,"TYLER INDEPENDENT SCHOOL DISTRICT","1319 NEW SUNNYBROOK","TYLER","TX","75710","25-2031.00","Secondary School Teachers, Except Special and Voca","SECONDARY (HIGH SCHOOL) SCIENCE TEACHER","40900",,"Year","Y",1,"TYLER","TX","35680.00","Year","OES",,"2010",,,,,,,,"611110",9/15/2010 0:00:00
"I-200-10252-158612","WITHDRAWN",9/9/2010 12:09:01,"H-1B",9/9/2010 0:00:00,9/8/2013 0:00:00,"SOVEREIGN TECHNOLOGIES, INC.","11414 GRAVOIS ROAD","ST. LOUIS","MO","63126","15-1021.00","Computer Programmers","ANALYST/PROGRAMMER","63877",,"Year","Y",10,"BALTIMORE","MD","63877.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"5415",9/9/2010 0:00:00
"I-200-10252-909887","CERTIFIED",9/10/2010 12:24:16,"H-1B",12/17/2010 0:00:00,12/16/2013 0:00:00,"LOUISIANA STATE UNIVERSITY AND A & M COLLEGE","112 THOMAS BOYD HALL","BATON ROUGE","LA","70803","19-2041.00","Environmental Scientists and Specialists, Includin","POSTDOCTORAL RESEARCHER","47000",,"Year","Y",1,"BATON ROUGE","LA","40514","Year","Other","CUPA MID LEVEL ADMINISTRATIVE AND PROFESSIONAL SALARY SURVEY","2010",,,,,,,,"611310",9/16/2010 0:00:00
"I-200-10252-351316","CERTIFIED",9/9/2010 12:25:35,"H-1B",3/7/2011 0:00:00,3/6/2014 0:00:00,"GLOBAL SCIENCE AND TECHNOLOGY, INCORPORATED","7855 WALKER DRIVE","GREENBELT","MD","20770","17-2141.00","Mechanical Engineers","MEMS ENGINEER AND SCIENTIST","75000","75000","Year","Y",1,"GREENBELT","MD","65374.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",9/15/2010 0:00:00
"I-200-10252-558396","CERTIFIED",9/10/2010 15:38:31,"H-1B",10/4/2010 0:00:00,10/4/2013 0:00:00,"GOLDMAN, SACHS & CO.","200 WEST STREET","NEW YORK","NY","10282","13-2051.00","Financial Analysts","INTERMEDIATE TRADING ASSOCIATE","225000",,"Year","Y",1,"NEW YORK","NY","111966.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"523110",9/16/2010 0:00:00
"I-200-10252-145135","CERTIFIED",9/9/2010 17:39:59,"H-1B",9/16/2010 0:00:00,9/15/2013 0:00:00,"INTEL CORPORATION","2200 MISSION COLLEGE BLVD","SANTA CLARA","CA","95054","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","75629","124413","Year","Y",1,"SANTA CLARA","CA","75629.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"3344",9/15/2010 0:00:00
"I-200-10252-764371","DENIED",9/9/2010 12:22:38,"H-1B",9/9/2010 0:00:00,9/8/2011 0:00:00,"BLS TEL HOLDING, LLC.","500 MAMARONECK AVE. NO. 402","HARRISON","NY","10528","15-1099.99","Computer Specialists, All Other","NETWORK ANALYST","45000",,"Year","Y",1,"HARRISON","NY","43035","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"517110",9/16/2010 10:45:45
"I-200-10252-517199","CERTIFIED",9/9/2010 12:11:55,"H-1B",9/10/2010 0:00:00,12/31/2010 0:00:00,"INFOSYS CONSULTING INC.","6607 KAISER DRIVE","FREMONT","CA","94555","13-1111.00","Management Analysts","SENIOR ASSOCIATE","100000",,"Year","Y",1,"IRVINE","CA","85821.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"54161",9/15/2010 0:00:00
"I-200-10252-781393","CERTIFIED",9/10/2010 15:58:46,"H-1B",9/27/2010 0:00:00,9/26/2013 0:00:00,"ERICSSON INC.","6300 LEGACY DRIVE, R1-C10","PLANO","TX","75024","15-1071.00","Network and Computer Systems Administrators","ENGINEER - SERVICES RF","52416","70846","Year","Y",1,"PLANO","TX","52416","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"334220",9/16/2010 0:00:00
"I-200-10252-798114","CERTIFIED",9/14/2010 10:22:42,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"ERNST & YOUNG LLP","200 PLAZA DRIVE","SECAUCUS","NJ","07094","13-2011.02","Auditors","ASSURANCE SENIOR","53352","90000","Year","Y",1,"CLEVELAND","OH","53352","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541211",9/20/2010 0:00:00
"I-200-10252-754067","CERTIFIED",9/9/2010 12:27:10,"H-1B",10/1/2010 0:00:00,9/22/2013 0:00:00,"KBACE TECHNOLOGIES, INC.","6 TRAFALGAR SQUARE","NASHUA","NH","03063","15-1031.00","Computer Software Engineers, Applications","SENIOR CONSULTANT","78760.5",,"Year","Y",1,"NASHUA","NH","78728.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",9/15/2010 0:00:00
