"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10258-614353","CERTIFIED",9/15/2010 11:59:35,"H-1B",12/10/2010 0:00:00,12/9/2013 0:00:00,"ANICHEM, INC","195 BLACK HORSE LANE","NORTH BRUNSWICK","NJ","08902","19-2031.00","Chemists","CHEMISTS","50544",,"Year","Y",1,"NORTH BRUNSWICK","NJ","50544.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541710",9/21/2010 0:00:00
"I-200-10258-965055","CERTIFIED",9/15/2010 12:02:34,"H-1B",9/15/2010 0:00:00,9/15/2013 0:00:00,"ADVANCED BUSINESS GROUP, INC.","266 WEST 37TH STREET","NEW YORK","NY","10018","27-1024.00","Graphic Designers","GRAPHIC DESIGNER","17.48",,"Hour","N",1,"NEW YORK","NY","17.48","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"323115",9/21/2010 0:00:00
"I-200-10258-621633","CERTIFIED",9/15/2010 12:59:48,"H-1B",1/19/2011 0:00:00,1/19/2014 0:00:00,"ELGIN SCHOOL DISTRICT U-46","355 E. CHICAGO STREET","ELGIN","IL","60120","25-3099.00","Teachers and Instructors, All Other","JAPANESE TEACHER","45275",,"Year","Y",1,"ELGIN","IL","45275.00","Year","CBA","N/A","2010",,,,,,,,"611110",9/21/2010 0:00:00
"I-200-10258-797151","CERTIFIED",9/15/2010 12:00:51,"H-1B",10/8/2010 0:00:00,10/7/2013 0:00:00,"TECHNO SOFT, INC.","3202 DRUMMOND PLAZA OFFICE PARK","NEWARK","DE","19711","15-1021.00","Computer Programmers","SAP CONSULTANT / PROGRAMMER ANALYST","65500",,"Year","Y",1,"JACKSON","MI","46592.00","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",9/21/2010 0:00:00
"I-200-10258-654449","CERTIFIED",9/15/2010 12:17:37,"H-1B",9/15/2010 0:00:00,9/15/2013 0:00:00,"LAKESHORE SPINE AND PAIN, P.C.","5511 WEST US 10 HIGHWAY","LUDINGTON","MI","49431","29-1063.00","Internists, General","PHYSICIAN","140000",,"Year","Y",1,"LUDINGTON","MI","135741.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621111",9/21/2010 0:00:00
"I-200-10258-402546","CERTIFIED",9/15/2010 12:05:18,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"PHILLIPS & BACON INC.","1 WILLIAMS CENTER","TULSA","OK","74172","17-2141.00","Mechanical Engineers","MECHANICAL ENGINEER","55800",,"Year","Y",1,"TULSA","OK","55182","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",9/21/2010 0:00:00
"I-200-10258-339910","CERTIFIED",9/15/2010 12:04:06,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"CANDO TECH SERVICES, INC.","1034 HIGH MEADOW DR.","TALLAHASSEE","FL","32311","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","52000",,"Year","Y",1,"TALLAHASSEE","FL","38542","Year","Other","ONLINE WAGE LIBRARY/ FLC DATA CENTER","2010","TALLAHASSEE","FL","38542","Year","Other","ONLINE WAGE LIBRARY/FLC DATA CENTER","2010","541511",9/21/2010 0:00:00
"I-200-10258-466321","CERTIFIED",9/15/2010 14:21:59,"H-1B",10/4/2010 0:00:00,10/3/2013 0:00:00,"EMPOWER PROFESSIONALS, INC","2500 W HIGGINS RD, SUITE # 580","HOFFMAN ESTATES","IL","60169","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","47840",,"Year","Y",1,"DES MOINES","IA","47840.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",9/21/2010 0:00:00
"I-200-10258-334966","CERTIFIED",9/15/2010 11:59:04,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"IOKO365","420 STEVENS AVENUE, SUITE 170","SOLANA BEACH","CA","92075","15-1031",,"SENIOR DEVELOPER","75460",,"Year","Y",1,"SOLANA BEACH","CA","59259","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"54151",9/21/2010 0:00:00
"I-200-10258-770807","CERTIFIED",9/15/2010 12:10:50,"H-1B",9/29/2010 0:00:00,9/28/2013 0:00:00,"DIGITEK SOFTWARE INC","650 RADIO DR","LEWIS CENTER","OH","43035","13-1079.99","Human Resources, Training, and Labor Relations Spe","IT TECHNICAL RECRUITER","40000",,"Year","Y",1,"LEWIS CENTER","OH","32594","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"541500",9/21/2010 0:00:00
