"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10264-856717","CERTIFIED",9/21/2010 11:55:47,"H-1B",9/21/2010 0:00:00,9/21/2013 0:00:00,"HCL AMERICA, INC.","330 POTRERO AVENUE","SUNNYVALE","CA","94085","13-1111.00","Management Analysts","BUSINESS ANALYST","75067","100000","Year","Y",2,"FLORHAM PARK","NJ","75067","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",9/27/2010 0:00:00
"I-200-10264-544302","DENIED",9/21/2010 11:52:55,"H-1B",3/18/2011 0:00:00,3/18/2014 0:00:00,"LAS VEGAS SANDS CORP.","3355 LAS VEGAS BOULEVARD SOUTH","LAS VEGAS","NV","89109","11-3031.01","Treasurers, Controllers, and Chief Financial Offic","DIRECTOR, CORPORATE FINANCE","125000","135000","Year","Y",1,"LAS VEGAS","NV","120536","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"721120",9/27/2010 15:08:26
"I-200-10264-890394","CERTIFIED",9/21/2010 11:47:02,"H-1B",10/1/2010 0:00:00,9/25/2013 0:00:00,"WEBJECT SYSTEMS, INC.","25 CENTRAL SQUARE","BRIDGEWATER","MA","02324","15-1099.01","Software Quality Assurance Engineers and Testers","QUALITY ASSURANCE TESTER","56220",,"Year","Y",1,"PORTSMOUTH","NH","56202.00","Year","Other","OWL","2010",,,,,,,,"541511",9/27/2010 0:00:00
"I-200-10264-440644","CERTIFIED",9/21/2010 11:54:50,"H-1B",1/2/2011 0:00:00,1/1/2014 0:00:00,"CONCERN WORLDWIDE US","104 E. 40TH ST., #903","NEW YORK","NY","10016","13-1199.99","Business Operations Specialists, All Other","DEVELOPMENT OFFICER","60000",,"Year","Y",1,"NEW YORK","NY","57200","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"813311",9/27/2010 0:00:00
"I-200-10264-022487","DENIED",9/21/2010 13:34:31,"H-1B",9/28/2010 0:00:00,9/27/2013 0:00:00,"ARCADIA INSTITUTE OF ARTS","1207 SOUTH BALDWIN AVENUE","ARCADIA","CA","91007","27-2041.00","Music Directors and Composers","MUSIC DIRECTOR","42000",,"Year","Y",1,"ARCADIA","CA","32968.00","Year","OES","N/A","2010",,,,,,,,"451140",9/28/2010 8:39:28
"I-200-10264-061892","CERTIFIED",9/21/2010 11:52:46,"H-1B",10/16/2010 0:00:00,10/15/2013 0:00:00,"BELVEDERE TRADING LLC","10 SOUTH RIVERSIDE DRIVE","CHICAGO","IL","60606-3728","15-2021.00","Mathematicians","OPTION VOLATILITY QUANTITATIVE ANALYST","125000",,"Year","Y",1,"CHICAGO","IL","102710.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"523130",9/27/2010 0:00:00
"I-200-10264-974878","CERTIFIED",9/21/2010 11:52:58,"H-1B",1/15/2011 0:00:00,9/24/2012 0:00:00,"INTERNATIONAL MARKETING & GLOBAL EVENT SPONSORSHIP","1320 ELLSWORTH INDUSTRIAL BOULEVARD","ATLANTA","GA","30318","11-2021.00","Marketing Managers","ACCOUNT SUPERVISOR","89107","94107","Year","Y",1,"ATLANTA","GA","89107.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541910",9/27/2010 0:00:00
"I-200-10264-871647","CERTIFIED",9/22/2010 13:22:41,"H-1B",10/4/2010 0:00:00,10/4/2013 0:00:00,"DELOITTE CONSULTING LLP","1700 MARKET STREET","PHILADELPHIA","PA","19103","15-1031.00","Computer Software Engineers, Applications","SENIOR CONSULTANT","109000",,"Year","Y",1,"SAN FRANCISCO","CA","90480.00","Year","OES","OFLC ONLINE DATA CENTER","2010","BELLEVUE","WA","82701.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541610",9/28/2010 0:00:00
"I-200-10264-413317","CERTIFIED",9/22/2010 10:13:49,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"TATA CONSULTANCY SERVICES LIMITED","12300 TWINBROOK PARKWAY","ROCKVILLE","MD","20852","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","65400",,"Year","Y",1,"ATLANTA","GA","63024","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",9/28/2010 0:00:00
"I-200-10264-850888","CERTIFIED",9/21/2010 18:33:07,"H-1B",9/28/2010 0:00:00,9/27/2013 0:00:00,"PREMIER TECHNOLOGIES, INC.","9431 HIGHWAY 6 SOUTH","HOUSTON","TX","77083","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","51000",,"Year","Y",1,"HOUSTON","TX","50315.00","Year","OES","'OFLC ONLINE DATA CENTER'","2010","MADISON","WI","48360.00","Year","OES","'OFLC ONLINE DATA CENTER'","2010","541519",9/27/2010 0:00:00
