"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10270-057479","CERTIFIED",9/27/2010 18:19:53,"H-1B",10/4/2010 0:00:00,10/3/2013 0:00:00,"DIASPARK, INC.","200 METROPLEX DRIVE","EDISON","NJ","08817","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","62000",,"Year","Y",1,"EDISON","NJ","61214.00","Year","OES","OFLC ONLINE DATA CENTER","2010","WOBURN","MA","60528.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541512",10/1/2010 0:00:00
"I-200-10270-685701","CERTIFIED",9/27/2010 17:48:23,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"ASA INSTITUTE","81 WILLOUGHBY STREET","BROOKLYN","NY","11201","25-1194.00","Vocational Education Teachers Postsecondary","VOCATIONAL EDUCATION TEACHERS POSTSECONDARY","25",,"Hour","N",1,"BROOKLYN","NY","21.18","Hour","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",10/1/2010 0:00:00
"I-200-10270-793854","CERTIFIED",9/27/2010 17:57:06,"H-1B",10/20/2010 0:00:00,10/19/2013 0:00:00,"GLOBAL IT GROUP, INC","5007 LINCOLN AVENUE","LISLE","IL","60532","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","75000",,"Year","Y",1,"BOLINGBROOK","IL","63586.00","Year","OES","OFLC ONLINE DATA CENTER","2010","LISLE","IL","63586.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",10/1/2010 0:00:00
"I-200-10270-387737","CERTIFIED",9/27/2010 18:07:58,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"CAPGEMINI FINANCIAL SERVICES USA INC.","6400 SHAFER COURT","ROSEMONT","IL","60018","15-1031.00","Computer Software Engineers, Applications","SENIOR CONSULTANT","68011",,"Year","Y",1,"BUFFALO","NY","47403.00","Year","OES","OFLC ONLINE DATA CENTER","2010","ROSEMONT","IL","61464.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",10/1/2010 0:00:00
"I-200-10270-267068","CERTIFIED",9/27/2010 18:00:16,"H-1B",9/27/2010 0:00:00,9/26/2013 0:00:00,"AMERICAN INFORMATION TECHNOLOGY CORPORATION","14285 MIDWAY RD","ADDISON","TX","75001","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","50357","50357","Year","Y",1,"NORTHBROOK","IL","50357","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",10/1/2010 0:00:00
"I-200-10270-629778","CERTIFIED",9/27/2010 18:39:11,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"HALLMARK REHABILITATION GP, LLC","27442 PORTOLA PARKWAY SUITE 200","FOOTHILL RANCH","CA","92610","29-1127.00","Speech-Language Pathologists","SPEECH LANGUAGE PATHOLOGIST","46",,"Hour","Y",1,"GLENDALE","CA","44.93","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621340",10/1/2010 0:00:00
"I-200-10270-854831","CERTIFIED",9/27/2010 17:55:02,"H-1B",10/4/2010 0:00:00,5/31/2011 0:00:00,"NETVISION RESOURCES, INC","4229 LAFAYETTE CENTER DRIVE","CHANTILLY","VA","20151","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER/ANALYST","60000",,"Year","Y",1,"ROCHESTER","NY","40602.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",10/1/2010 0:00:00
"I-200-10270-800976","CERTIFIED",9/27/2010 18:02:56,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"HORIZON TECHNOLOGIES INC","830 STEWART DR","SUNNYVALE","CA","94085","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","60000",,"Year","Y",1,"NEW YORK","NY","59613.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",10/1/2010 0:00:00
"I-200-10270-178143","CERTIFIED",9/27/2010 18:01:37,"H-1B",10/13/2010 0:00:00,10/12/2013 0:00:00,"MARCO POLO CAPITAL MARKETS LLC","75 BROAD STREET, 15TH FLOOR","NEW YORK","NY","10004","41-3031.00","Securities, Commodities, and Financial Services Sa","SECURITIES, COMMODITIES AND FINANCIAL SERVICES SAL","130000",,"Year","Y",1,"NEW YORK CITY","NY","124155.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"523999",10/1/2010 0:00:00
"I-200-10270-814718","CERTIFIED",9/27/2010 18:09:46,"H-1B",9/27/2010 0:00:00,9/26/2013 0:00:00,"UNISOFTEK INC","33 WOOD AVE S","ISELIN","NJ","08830","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","60000",,"Year","Y",1,"TULSA","OK","36109.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",10/1/2010 0:00:00
"I-200-10270-978804","CERTIFIED",9/27/2010 17:58:22,"H-1B",12/1/2010 0:00:00,11/30/2013 0:00:00,"MURPHY OIL USA, INC.","200 PEACH STREET","EL DORADO","AR","71730","17-2112.00","Industrial Engineers","DIRECTOR, DOWNSTREAM HEALTH, SAFETY AND ENVIRONMEN","140000",,"Year","Y",1,"EL DORADO","AR","65021.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"21111",10/1/2010 0:00:00
"I-200-10270-199362","CERTIFIED",9/27/2010 18:09:23,"H-1B",10/10/2010 0:00:00,10/10/2013 0:00:00,"I3LOGIX,  INC.","9501 NORTHFIELD BOULEVARD","DENVER","CO","80238","15-1061.00","Database Administrators","SENIOR DATABASE ADMINISTRATOR AND ARCHITECT","100000",,"Year","Y",1,"DENVER","CO","88691.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"42343",10/1/2010 0:00:00
"I-200-10270-746678","CERTIFIED",9/27/2010 18:06:10,"H-1B",10/17/2010 0:00:00,10/16/2013 0:00:00,"UNIVERSITY OF TEXAS AT SAN ANTONIO","ONE UTSA CIRCLE","SAN ANTONIO","TX","78249","19-4021.00","Biological Technicians","RESEARCH SCIENTIST ASSISTANT II","31019",,"Year","Y",1,"SAN ANTONIO","TX","22776","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",10/1/2010 0:00:00
"I-200-10270-272312","CERTIFIED",9/27/2010 18:04:08,"H-1B",10/16/2010 0:00:00,11/27/2012 0:00:00,"IDEXCEL, INC.","459 HERNDON PARKWAY","HERNDON","VA","20170","15-1031.00","Computer Software Engineers, Applications","SOFTWARE DEVELOPER","70300",,"Year","Y",1,"FACTORIA","WA","70221.00","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",10/1/2010 0:00:00
"I-200-10270-075251","DENIED",9/27/2010 18:10:48,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"KEYOD ES INC.","922 HEMPSTEAD TURNPIKE","FRANKLIN SQUARE","NY","11010","19-3021.00","Market Research Analysts","BUSINESS DEVELOPMENT SPECIALIST","45219",,"Year","Y",1,"FRANKLIN SQUARE","NY","21.74","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"423120",9/30/2010 16:24:28
"I-200-10270-384339","CERTIFIED",9/27/2010 18:02:52,"H-1B",10/4/2010 0:00:00,9/30/2013 0:00:00,"NETVISION RESOURCES, INC","4229 LAFAYETTE CENTER DRIVE","CHANTILLY","VA","20151","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER/ANALYST","65000",,"Year","Y",1,"DANVERS","MA","58594.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",10/1/2010 0:00:00
"I-203-10270-761459","CERTIFIED",9/27/2010 18:17:24,"E-3 Australian",1/2/2011 0:00:00,1/1/2013 0:00:00,"FREEPORT-MCMORAN SIERRITA INC.","333 NORTH CENTRAL AVENUE","PHOENIX","AZ","85004","11-1021.00","General and Operations Managers","MANAGER CONCENTRATOR","140000",,"Year","Y",1,"GREEN VALLEY","AZ","126630","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"212299",10/1/2010 0:00:00
"I-200-10270-210412","CERTIFIED",9/27/2010 18:19:57,"H-1B",10/10/2010 0:00:00,10/9/2013 0:00:00,"TAPULOUS, INC.","500 SOUTH BUENA VISTA STREET","BURBANK","CA","91521-0153","15-1021.00","Computer Programmers","SENIOR BACKEND GAMES ENGINEER","115000",,"Year","Y",1,"PALO ALTO","CA","104433.00","Year","Other","2010 RADFORD GLOBAL TECHNOLOGY SURVEY - SAN FRANCISCO BAY AREA INCLUDING SILICON VALLEY","2010",,,,,,,,"51121",10/1/2010 0:00:00
"I-200-10270-902315","CERTIFIED",9/27/2010 18:06:27,"H-1B",10/11/2010 0:00:00,10/11/2013 0:00:00,"VIRTUAL MATRIX CORPORATION","7200 FRANCE AVENUE S","EDINA","MN","55435","19-2031.00","Chemists","ANALYTICAL CHEMIST","46000",,"Year","Y",1,"ST. PAUL","MN","45760","Year","Other","WWW.FLCDATACENTER.COM","2010",,,,,,,,"51119",10/1/2010 0:00:00
"I-200-10270-276514","CERTIFIED",9/27/2010 18:12:13,"H-1B",2/5/2011 0:00:00,12/19/2012 0:00:00,"DISCOVERTEC, LLC","4899 BELFORT RD, #201","JACKSONVILLE","FL","32256","15-1021.00","Computer Programmers","APPLICATION PROGRAMMER/DEVELOPER","50000",,"Year","Y",1,"JACKSONVILLE","FL","48339.00","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",10/1/2010 0:00:00
"I-200-10270-055914","CERTIFIED",9/27/2010 18:49:47,"H-1B",11/12/2010 0:00:00,11/11/2013 0:00:00,"CODESOFT INTERNATIONAL, INC.","SIX CONCOURSE PARKWAY, FIFTH FLOOR","ATLANTA","GA","30328","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","60000","90000","Year","Y",1,"IRVING","TX","51230.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",10/1/2010 0:00:00
"I-200-10270-093097","CERTIFIED",9/27/2010 18:45:29,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"HALLMARK REHABILITATION GP, LLC","27442 PORTOLA PARKWAY SUITE 200","FOOTHILL RANCH","CA","92610","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","43.5",,"Hour","Y",1,"CONCORD","CA","42.14","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621340",10/1/2010 0:00:00
"I-200-10270-985868","CERTIFIED",9/27/2010 18:09:45,"H-1B",9/27/2010 0:00:00,9/26/2013 0:00:00,"GURU IT SOLUTIONS, INC","34762 COMSTOCK CMN","FREMONT","CA","94555","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","60000",,"Year","Y",1,"SAN JOSE","CA","58427","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",10/1/2010 0:00:00
